time[s],SAS[V],FWM[V]
-1.0091145825699999,-0.00101796,0.0360271
-1.0084635409029998,-0.000942588,0.0361528
-1.007812499236,-0.000930025,0.0362784
-1.007161457569,-0.000967714,0.0362784
-1.006510415902,-0.00101796,0.0362784
-1.005859374235,-0.000955151,0.036404
-1.005208332568,-0.000980276,0.0365296
-1.0045572909009999,-0.000955151,0.0366553
-1.0039062492339998,-0.000980276,0.0366553
-1.0032552075669998,-0.000992839,0.0367809
-1.0026041659,-0.000980276,0.0367809
-1.001953124233,-0.000980276,0.0367809
-1.001302082566,-0.000967714,0.0369065
-1.000651040899,-0.00101796,0.0370322
-0.9999999992319999,-0.000955151,0.0370322
-0.9993489575649999,-0.000967714,0.0370322
-0.9986979158979998,-0.000992839,0.0372834
-0.998046874231,-0.000942588,0.0372834
-0.997395832564,-0.000980276,0.037409
-0.996744790897,-0.000992839,0.0372834
-0.9960937492299999,-0.000967714,0.037409
-0.9954427075629999,-0.000967714,0.0375347
-0.9947916658959999,-0.000992839,0.0375347
-0.9941406242289998,-0.000992839,0.0375347
-0.9934895825619998,-0.000955151,0.0375347
-0.992838540895,-0.000992839,0.0376603
-0.992187499228,-0.000980276,0.0377859
-0.991536457561,-0.000942588,0.0377859
-0.9908854158939999,-0.00101796,0.0379116
-0.9902343742269999,-0.0010054,0.0379116
-0.9895833325599999,-0.000967714,0.0380372
-0.9889322908929998,-0.00101796,0.0380372
-0.988281249226,-0.000992839,0.0380372
-0.987630207559,-0.000955151,0.0381628
-0.986979165892,-0.0010054,0.0381628
-0.9863281242249999,-0.0010054,0.0381628
-0.9856770825579999,-0.0010054,0.0381628
-0.9850260408909999,-0.00101796,0.0382884
-0.9843749992239998,-0.000992839,0.0384141
-0.9837239575569998,-0.000992839,0.0384141
-0.98307291589,-0.000992839,0.0384141
-0.982421874223,-0.0010054,0.0385397
-0.981770832556,-0.0010054,0.0385397
-0.9811197908889999,-0.000955151,0.0385397
-0.9804687492219999,-0.000992839,0.0385397
-0.9798177075549999,-0.00104309,0.0386653
-0.9791666658879998,-0.00101796,0.0386653
-0.978515624221,-0.0010054,0.0386653
-0.977864582554,-0.0010054,0.0386653
-0.977213540887,-0.000980276,0.038791
-0.9765624992199999,-0.000967714,0.038791
